painter,painterLabel,date_of_birth,image,place_of_birth,place_of_birthLabel,movement,movementLabel,coordinate_location
http://www.wikidata.org/entity/Q1706333,Joseph Denis Odevaere,1775-12-02T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/JosephOdevaere.jpg,http://www.wikidata.org/entity/Q12994,Bruges,http://www.wikidata.org/entity/Q14378,neoclassicism,Point(3.224166666 51.208888888)
http://www.wikidata.org/entity/Q1706333,Joseph Denis Odevaere,1778-10-02T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/JosephOdevaere.jpg,http://www.wikidata.org/entity/Q12994,Bruges,http://www.wikidata.org/entity/Q14378,neoclassicism,Point(3.224166666 51.208888888)
http://www.wikidata.org/entity/Q2564914,Joseph-Benoît Suvée,1743-01-03T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Joseph-Beno%C3%AEt%20Suv%C3%A9e%20-%20Zelfportret%20%281771%29.jpg,http://www.wikidata.org/entity/Q12994,Bruges,http://www.wikidata.org/entity/Q14378,neoclassicism,Point(3.224166666 51.208888888)
http://www.wikidata.org/entity/Q15407385,Ange Flégier,1846-02-25T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Ange%20Fl%C3%A9gier.JPEG,http://www.wikidata.org/entity/Q23482,Marseille,http://www.wikidata.org/entity/Q9730,classical music,Point(5.376388888 43.296666666)
http://www.wikidata.org/entity/Q3166330,Jean-Jacques-François Le Barbier,1738-11-29T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Buste%20Jean-Jacques-Fran%C3%A7ois%20Le%20Barbier%20%28d%C3%A9tail%29.jpg,http://www.wikidata.org/entity/Q30974,Rouen,http://www.wikidata.org/entity/Q14378,neoclassicism,Point(1.1025 49.443055555)
http://www.wikidata.org/entity/Q964812,François Marius Granet,1775-12-17T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Jean%20Auguste%20Dominique%20Ingres%20018.jpg,http://www.wikidata.org/entity/Q47465,Aix-en-Provence,http://www.wikidata.org/entity/Q14378,neoclassicism,Point(5.445555555 43.527777777)
http://www.wikidata.org/entity/Q23380,Jean-Auguste-Dominique Ingres,1780-08-29T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Ingres%2C%20Self-portrait.jpg,http://www.wikidata.org/entity/Q172593,Montauban,http://www.wikidata.org/entity/Q14378,neoclassicism,Point(1.355 44.017222222)
http://www.wikidata.org/entity/Q541859,Jules Bastien-Lepage,1848-11-01T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/065%20Jules-Bastien%20Le%20Page%20Portrait%20de%20l%27artiste.jpg,http://www.wikidata.org/entity/Q195737,Damvillers,http://www.wikidata.org/entity/Q10998,potato,Point(5.399722222 49.342777777)
http://www.wikidata.org/entity/Q652952,Pierre-François-Léonard Fontaine,1762-09-20T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/P-F-L.%20Fontaine%20par%20JD%20Court%20-%20Ch%C3%A2teau%20de%20Versailles.jpg,http://www.wikidata.org/entity/Q201352,Pontoise,http://www.wikidata.org/entity/Q14378,neoclassicism,Point(2.100833333 49.050833333)
http://www.wikidata.org/entity/Q433434,Anne-Louis Girodet de Roussy-Trioson,1767-01-29T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Anne-Louis%20Girodet%20autoportrait.jpg,http://www.wikidata.org/entity/Q212352,Montargis,http://www.wikidata.org/entity/Q14378,neoclassicism,Point(2.7325 47.996944444)
http://www.wikidata.org/entity/Q433434,Anne-Louis Girodet de Roussy-Trioson,1767-01-29T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Girodet%20Autoportrait.JPG,http://www.wikidata.org/entity/Q212352,Montargis,http://www.wikidata.org/entity/Q14378,neoclassicism,Point(2.7325 47.996944444)
